날짜,기온
2021-01-04,-3.77
2021-01-05,-4.84
2021-01-06,-7.36
2021-01-07,-13.82
2021-01-08,-14.95
2021-01-11,-6.75
2021-01-12,-4.37
2021-01-13,1.68
2021-01-14,1.61
2021-01-15,4.67
2021-01-18,-3.26
2021-01-19,-6.55
2021-01-20,-0.69
2021-01-21,4.32
2021-01-22,5.5
2021-01-25,7.82
2021-01-26,5.77
2021-01-27,1.88
2021-01-28,-1.78
2021-01-29,-8.81
2021-02-01,5.88
2021-02-02,-5.1
2021-02-03,-3.86
2021-02-04,-3.12
2021-02-05,0.68
2021-02-08,-2.9
2021-02-09,-1.25
2021-02-10,2.91
2021-02-15,2.29
2021-02-16,-4.93
2021-02-17,-8.16
2021-02-18,-6.05
2021-02-19,0.73
2021-02-22,8.47
2021-02-23,0.19
2021-02-24,2.58
2021-02-25,4.03
2021-02-26,7.88
2021-03-02,2.3
2021-03-03,4.08
2021-03-04,7.0
2021-03-05,8.94
2021-03-08,6.97
2021-03-09,6.63
2021-03-10,8.58
2021-03-11,9.99
2021-03-12,10.67
2021-03-15,10.36
2021-03-16,8.86
2021-03-17,8.63
2021-03-18,11.26
2021-03-19,15.04
2021-03-22,5.99
2021-03-23,8.74
2021-03-24,10.63
2021-03-25,12.09
2021-03-26,12.01
2021-03-29,10.39
2021-03-30,10.61
2021-03-31,14.08
2021-04-01,17.54
2021-04-02,17.47
2021-04-05,11.77
2021-04-06,13.82
2021-04-07,13.94
2021-04-08,13.05
2021-04-09,13.48
2021-04-12,13.95
2021-04-13,10.99
2021-04-14,8.08
2021-04-15,11.32
2021-04-16,11.44
2021-04-19,11.95
2021-04-20,14.53
2021-04-21,18.75
2021-04-22,20.79
2021-04-23,19.06
2021-04-26,16.38
2021-04-27,15.3
2021-04-28,14.55
2021-04-29,14.89
2021-04-30,11.34
2021-05-03,13.93
2021-05-04,13.63
2021-05-06,15.38
2021-05-07,14.67
2021-05-10,13.33
2021-05-11,18.02
2021-05-12,21.75
2021-05-13,22.77
2021-05-14,23.95
2021-05-17,15.28
2021-05-18,17.82
2021-05-20,19.05
2021-05-21,15.97
2021-05-24,19.54
2021-05-25,15.64
2021-05-26,17.64
2021-05-27,16.15
2021-05-28,15.08
2021-05-31,19.69
2021-06-01,20.3
2021-06-02,23.01
2021-06-03,19.71
2021-06-04,18.13
2021-06-07,21.14
2021-06-08,23.43
2021-06-09,25.57
2021-06-10,25.3
2021-06-11,21.53
2021-06-14,24.63
2021-06-15,22.63
2021-06-16,24.37
2021-06-17,21.88
2021-06-18,20.11
2021-06-21,23.48
2021-06-22,23.17
2021-06-23,22.2
2021-06-24,22.86
2021-06-25,24.03
2021-06-28,23.59
2021-06-29,23.82
2021-06-30,24.13
2021-07-01,26.18
2021-07-02,27.08
2021-07-05,23.06
2021-07-06,25.14
2021-07-07,26.3
2021-07-08,25.96
2021-07-09,25.41
2021-07-12,27.89
2021-07-13,28.69
2021-07-14,29.67
2021-07-15,29.34
2021-07-16,28.69
2021-07-19,26.84
2021-07-20,27.62
2021-07-21,30.32
2021-07-22,31.14
2021-07-23,31.28
2021-07-26,31.3
2021-07-27,31.0
2021-07-28,30.3
2021-07-29,29.74
2021-07-30,30.31
2021-08-02,26.43
2021-08-03,27.7
2021-08-04,29.02
2021-08-05,29.21
2021-08-06,28.18
2021-08-09,28.13
2021-08-10,27.75
2021-08-11,27.33
2021-08-12,26.94
2021-08-13,26.41
2021-08-16,27.28
2021-08-17,26.23
2021-08-18,24.27
2021-08-19,25.76
2021-08-20,26.74
2021-08-23,22.57
2021-08-24,23.13
2021-08-25,24.88
2021-08-26,25.29
2021-08-27,22.91
2021-08-30,24.19
2021-08-31,20.7
2021-09-01,21.13
2021-09-02,23.32
2021-09-03,24.51
2021-09-06,22.55
2021-09-07,19.4
2021-09-08,22.23
2021-09-09,23.42
2021-09-10,23.6
2021-09-13,24.61
2021-09-14,24.66
2021-09-15,23.69
2021-09-16,22.78
2021-09-17,23.51
2021-09-23,20.73
2021-09-24,21.71
2021-09-27,21.49
2021-09-28,21.46
2021-09-29,20.31
2021-09-30,20.26
2021-10-01,21.25
2021-10-04,22.52
2021-10-05,23.85
2021-10-06,19.03
2021-10-07,19.53
2021-10-08,18.67
2021-10-11,15.08
2021-10-12,17.93
2021-10-13,19.45
2021-10-14,19.8
2021-10-15,19.04
2021-10-18,9.1
2021-10-19,11.21
2021-10-20,9.51
2021-10-21,9.7
2021-10-22,10.78
2021-10-25,11.61
2021-10-26,12.73
2021-10-27,13.64
2021-10-28,12.61
2021-10-29,14.5
2021-11-01,13.01
2021-11-02,11.55
2021-11-03,11.9
2021-11-04,12.25
2021-11-05,12.92
2021-11-08,9.49
2021-11-09,4.99
2021-11-10,4.04
2021-11-11,5.38
2021-11-12,4.53
2021-11-15,10.17
2021-11-16,8.69
2021-11-17,7.4
2021-11-18,11.42
2021-11-19,13.1
2021-11-22,3.37
2021-11-23,-0.55
2021-11-24,3.54
2021-11-25,5.95
2021-11-26,2.92
2021-11-29,7.43
2021-11-30,6.29
2021-12-01,-1.0
2021-12-02,0.76
2021-12-03,2.28
2021-12-06,5.15
2021-12-07,6.98
2021-12-08,6.76
2021-12-09,6.23
2021-12-10,7.18
2021-12-13,-2.4
2021-12-14,3.22
2021-12-15,7.22
2021-12-16,6.45
2021-12-17,-4.48
2021-12-20,4.66
2021-12-21,5.69
2021-12-22,2.14
2021-12-23,2.57
2021-12-24,0.52
2021-12-27,-8.02
2021-12-28,-4.35
2021-12-29,0.41
2021-12-30,-3.57
2021-12-31,-5.5
