일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2022-01-01,급속,5000,4040,2920,2200,2480,3240,5080,7720,12040,16480,20400,19520,21440,21520,21200,19640,21680,18120,14320,11280,11120,9240,6320,5520
2022-01-01,완속,966,868,847,196,105,98,259,462,910,1204,1386,1428,1519,1841,1715,1820,2366,2744,2324,2254,2317,2331,2282,1659
2022-01-02,급속,3440,2600,1640,1240,1720,1880,4120,6520,9640,14400,16880,17720,20240,19640,20800,20880,20200,20120,15920,13000,10720,8680,6520,5160
2022-01-02,완속,602,567,238,210,84,70,196,301,574,987,1260,1407,1673,1904,1953,2275,2576,2828,2996,2618,2156,1925,1603,1547
2022-01-03,급속,2960,2600,1400,800,1520,3480,5480,8640,14040,15240,17200,20400,22080,22200,21120,22320,21600,21400,18920,15800,13320,10880,8000,6000
2022-01-03,완속,483,455,217,161,84,70,203,350,1043,938,959,1113,1064,1330,1302,2156,2415,3577,4102,3570,3017,2457,2401,1869
2022-01-04,급속,3480,2760,2040,1480,1800,3640,6080,7800,13840,15080,18800,20040,22920,20800,22640,21400,22920,22520,21800,16840,14360,12640,9040,6280
2022-01-04,완속,623,623,294,105,84,126,266,462,833,910,1029,1155,1372,1239,1274,1918,2611,3248,4207,3689,2919,2576,2485,2065
2022-01-05,급속,3920,2920,1520,1160,2240,3520,5600,8680,14640,16080,17600,20400,24080,20920,22120,20680,24960,21080,20120,17520,13400,11160,8560,6600
2022-01-05,완속,490,483,336,168,105,119,301,469,952,966,1085,1120,1267,1148,1463,2135,2709,3500,3773,3521,3451,2331,2247,1939
2022-01-06,급속,2760,2160,1560,1120,2200,3360,5640,9280,13640,16840,17440,19560,24120,21840,21800,22760,22760,19880,19440,18000,13400,12000,9360,7280
2022-01-06,완속,588,427,399,196,49,112,364,518,840,1050,1120,1253,1372,1358,1435,1890,2394,3325,4207,3752,3619,2618,2394,2317
2022-01-07,급속,3400,2760,2320,1560,2720,4000,5640,9120,15160,17240,19840,22920,23280,25320,22400,23160,24640,21520,19560,17360,14480,11680,9040,7760
2022-01-07,완속,714,707,294,196,77,161,287,518,1022,1099,1225,1274,1659,1470,1505,2023,2534,3402,3941,3675,2954,2576,2513,2170
